Dépôt,Présence tests (/15),Niveaux UT/IT/E2E (/25),Qualité tests (/25),Coverage (/25),Entretien Git (/10),README Description (/25),README Architecture (/20),README Installation (/25),README Contributeurs (/5),CHANGELOG (/10),CONTRIBUTING (/10),LICENSE (/5)
13_ia_financement,10.0,5.0,3.0,0.0,1.0,23.0,18.0,20.0,4.0,0.0,8.0,5.0
13_democratiser_sobriete,12.0,12.0,13.0,5.0,7.0,20.0,18.0,19.0,3.0,0.0,7.0,5.0
offseason_missiontransition_categorisation,12.0,8.0,10.0,0.0,3.0,20.0,12.0,20.0,3.0,0.0,3.0,5.0
shiftdataportal,12.0,8.0,12.0,0.0,4.0,15.0,16.0,13.0,3.0,0.0,0.0,0.0
13_ecoskills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
batch4_diafoirus_fleming,0.0,0.0,0.0,0.0,1.0,18.0,3.0,8.0,2.0,0.0,0.0,0.0
website2022,5.0,5.0,5.0,3.0,2.0,22.0,15.0,22.0,2.0,0.0,0.0,5.0
batch5_phenix_happymeal,12.0,7.0,12.0,0.0,3.0,22.0,14.0,18.0,2.0,0.0,0.0,5.0
batch11_cartovegetation,0.0,0.0,0.0,0.0,1.0,18.0,13.0,24.0,3.0,0.0,0.0,0.0
bechdelai,13.0,13.0,16.0,10.0,4.0,23.0,19.0,23.0,4.0,0.0,4.0,5.0
protectclimateactivists,0.0,0.0,0.0,0.0,1.0,8.0,5.0,18.0,1.0,0.0,0.0,5.0
offseason_ogre,12.0,11.0,13.0,7.0,2.0,22.0,17.0,23.0,4.0,0.0,4.0,5.0
14_PrixChangementClimatique,0.0,0.0,0.0,0.0,1.0,10.0,7.0,18.0,2.0,0.0,0.0,5.0
