Dépôt,Présence tests (/15),Niveaux UT/IT/E2E (/25),Qualité tests (/25),Coverage (/25),Entretien Git (/10),Total Tests (/100),README Description (/25),README Architecture (/20),README Installation (/25),README Contributeurs (/5),CHANGELOG (/10),CONTRIBUTING (/10),LICENSE (/5),Total Doc (/100),Total Global (/200)
13_ia_financement,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,25.0,3.0,0.0,10.0,5.0,88.0,88.0
13_democratiser_sobriete,15.0,10.0,15.0,0.0,8.0,48.0,17.0,20.0,17.0,5.0,0.0,5.0,5.0,69.0,117.0
offseason_missiontransition_categorisation,10.0,7.0,5.0,0.0,5.0,27.0,22.0,10.0,18.0,0.0,0.0,0.0,5.0,55.0,82.0
shiftdataportal,10.0,10.0,15.0,0.0,5.0,40.0,10.0,15.0,15.0,5.0,0.0,0.0,0.0,45.0,85.0
13_ecoskills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
batch4_diafoirus_fleming,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0
website2022,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,5.0,65.0,65.0
batch5_phenix_happymeal,10.0,5.0,15.0,0.0,5.0,35.0,20.0,15.0,20.0,0.0,0.0,0.0,5.0,60.0,95.0
batch11_cartovegetation,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,25.0,5.0,0.0,0.0,0.0,60.0,60.0
bechdelai,10.0,10.0,15.0,0.0,5.0,40.0,25.0,20.0,25.0,0.0,0.0,0.0,5.0,75.0,115.0
protectclimateactivists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,5.0,23.0,23.0
offseason_ogre,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,25.0,0.0,0.0,5.0,5.0,70.0,70.0
14_PrixChangementClimatique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,5.0,23.0,23.0
