Dépôt,Présence tests (/15),Niveaux UT/IT/E2E (/25),Qualité tests (/25),Coverage (/25),Entretien Git (/10),Total Tests (/100),README Description (/25),README Architecture (/20),README Installation (/25),README Contributeurs (/5),CHANGELOG (/10),CONTRIBUTING (/10),LICENSE (/5),Total Doc (/100),Total Global (/200)
13_ia_financement,15.0,5.0,5.0,0.0,0.0,25.0,25.0,20.0,25.0,5.0,0.0,10.0,5.0,90.0,115.0
13_democratiser_sobriete,15.0,15.0,15.0,10.0,10.0,65.0,25.0,25.0,20.0,0.0,0.0,10.0,5.0,85.0,150.0
offseason_missiontransition_categorisation,15.0,10.0,15.0,0.0,0.0,40.0,25.0,20.0,25.0,5.0,0.0,5.0,5.0,85.0,125.0
shiftdataportal,15.0,5.0,10.0,0.0,0.0,30.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,50.0,80.0
13_ecoskills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
batch4_diafoirus_fleming,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,5.0,0.0,0.0,0.0,30.0,30.0
website2022,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,25.0,0.0,0.0,0.0,5.0,65.0,65.0
batch5_phenix_happymeal,15.0,5.0,10.0,0.0,0.0,30.0,25.0,10.0,2.0,0.0,0.0,0.0,5.0,42.0,72.0
batch11_cartovegetation,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,25.0,0.0,0.0,0.0,0.0,55.0,55.0
bechdelai,15.0,10.0,15.0,0.0,0.0,40.0,25.0,20.0,20.0,5.0,0.0,5.0,5.0,80.0,120.0
protectclimateactivists,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,25.0,0.0,0.0,0.0,5.0,35.0,35.0
offseason_ogre,15.0,10.0,15.0,5.0,0.0,45.0,25.0,20.0,25.0,5.0,0.0,5.0,5.0,85.0,130.0
14_PrixChangementClimatique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,0.0,0.0,0.0,5.0,35.0,35.0
