Dépôt,Présence tests (/15),Niveaux UT/IT/E2E (/25),Qualité tests (/25),Coverage (/25),Entretien Git (/10),Total Tests (/100),README Description (/25),README Architecture (/20),README Installation (/25),README Contributeurs (/5),CHANGELOG (/10),CONTRIBUTING (/10),LICENSE (/5),Total Doc (/100),Total Global (/200)
13_ia_financement,0.0,0.0,0.0,0.0,2.0,2.0,18.0,22.0,4.0,15.0,4.0,0.0,0.0,63.0,65.0
13_democratiser_sobriete,0.0,0.0,0.0,0.0,2.0,2.0,15.0,10.0,18.0,3.0,0.0,3.0,0.0,49.0,51.0
offseason_missiontransition_categorisation,0.0,0.0,0.0,0.0,1.0,1.0,12.0,5.0,10.0,2.0,0.0,0.0,0.0,29.0,30.0
shiftdataportal,5.0,0.0,0.0,0.0,3.0,8.0,16.0,12.0,15.0,3.0,0.0,0.0,0.0,46.0,54.0
13_ecoskills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
batch4_diafoirus_fleming,0.0,0.0,0.0,0.0,1.0,1.0,10.0,5.0,12.0,0.0,0.0,0.0,0.0,27.0,28.0
website2022,8.0,10.0,8.0,5.0,3.0,34.0,16.0,10.0,20.0,3.0,0.0,0.0,0.0,49.0,83.0
batch5_phenix_happymeal,5.0,5.0,5.0,0.0,2.0,17.0,18.0,16.0,22.0,4.0,0.0,0.0,0.0,60.0,77.0
batch11_cartovegetation,0.0,0.0,0.0,0.0,2.0,2.0,16.0,14.0,22.0,3.0,0.0,0.0,0.0,55.0,57.0
bechdelai,15.0,18.0,18.0,15.0,4.0,70.0,18.0,16.0,24.0,5.0,0.0,4.0,0.0,67.0,137.0
protectclimateactivists,0.0,0.0,0.0,0.0,2.0,2.0,12.0,8.0,14.0,2.0,0.0,0.0,0.0,36.0,38.0
offseason_ogre,10.0,12.0,12.0,8.0,3.0,45.0,17.0,14.0,20.0,4.0,0.0,3.0,0.0,58.0,103.0
14_PrixChangementClimatique,0.0,0.0,0.0,0.0,2.0,2.0,14.0,10.0,16.0,3.0,0.0,0.0,0.0,43.0,45.0
