Dépôt,Présence tests (/15),Niveaux UT/IT/E2E (/25),Qualité tests (/25),Coverage (/25),Entretien Git (/10),Total Tests (/100),README Description (/25),README Architecture (/20),README Installation (/25),README Contributeurs (/5),CHANGELOG (/10),CONTRIBUTING (/10),LICENSE (/5),Total Doc (/100),Total Global (/200)
13_ia_financement,0,0,0,0,7,7,20.0,14,22.5,1.0,0,10,5,72.5,79.5
13_democratiser_sobriete,0,0,0,0,8,8,20.0,12,20.0,1.0,0,0,5,58.0,66.0
offseason_missiontransition_categorisation,10,10,12,5,2,39,17.5,6,20.0,0.0,0,0,5,48.5,87.5
shiftdataportal,0,0,0,0,7,7,17.5,10,5.0,0.5,0,0,0,33.0,40.0
13_ecoskills,0,0,0,0,8,8,5.0,0,17.5,0.5,0,0,5,28.0,36.0
batch4_diafoirus_fleming,0,0,0,0,1,1,17.5,4,2.5,0.0,0,0,0,24.0,25.0
website2022,0,0,0,0,1,1,17.5,6,20.0,2.0,0,0,5,50.5,51.5
batch5_phenix_happymeal,0,0,0,0,1,1,17.5,12,10.0,1.0,0,0,5,45.5,46.5
batch11_cartovegetation,0,0,0,0,3,3,17.5,8,20.0,0.5,0,0,0,46.0,49.0
bechdelai,0,0,0,0,2,2,20.0,12,17.5,1.0,1,1,5,57.5,59.5
protectclimateactivists,0,0,0,0,1,1,5.0,8,20.0,0.0,0,0,5,38.0,39.0
offseason_ogre,0,0,0,0,6,6,17.5,12,22.5,0.5,0,9,5,66.5,72.5
14_PrixChangementClimatique,0,0,0,0,5,5,2.5,0,17.5,1.0,0,0,5,26.0,31.0
