Projet,Note moyenne test,ICC test,Interprétation ICC test,Note moyenne documentation,ICC documentation,Interprétation ICC documentation
13_ia_financement,1.7,-0.117,poor,11.2,0.69,moderate
13_democratiser_sobriete,6.15,0.064,poor,9.32,0.866,good
offseason_missiontransition_categorisation,5.35,0.401,poor,7.77,0.867,good
shiftdataportal,4.25,0.157,poor,6.21,0.84,good
13_ecoskills,0.4,0.0,poor,1.0,0.0,poor
batch4_diafoirus_fleming,0.1,0.333,poor,3.61,0.742,moderate
website2022,1.75,-0.08,poor,8.2,0.901,excellent
batch5_phenix_happymeal,4.15,0.403,poor,7.41,0.782,good
batch11_cartovegetation,0.25,0.308,poor,7.71,0.961,excellent
bechdelai,7.6,0.386,poor,9.98,0.926,excellent
protectclimateactivists,0.15,0.267,poor,4.71,0.782,good
offseason_ogre,4.8,-0.013,poor,9.98,0.942,excellent
14_PrixChangementClimatique,0.35,0.23,poor,4.54,0.722,moderate
