Période,Projet,Note moyenne test,Interprétation ICC test,Note moyenne documentation,Interprétation ICC documentation
Avant GenAI,offseason_missiontransition_categorisation,5.35,poor,7.77,good
Avant GenAI,batch4_diafoirus_fleming,0.1,poor,3.61,moderate
Avant GenAI,website2022,1.75,poor,8.2,excellent
Avant GenAI,batch5_phenix_happymeal,4.15,poor,7.41,good
Pendant GenAI,batch11_cartovegetation,0.25,poor,7.71,excellent
Pendant GenAI,bechdelai,7.6,poor,9.98,excellent
Pendant GenAI,protectclimateactivists,0.15,poor,4.71,good
Pendant GenAI,offseason_ogre,4.8,poor,9.98,excellent
Après GenAI,13_ia_financement,1.7,poor,11.2,moderate
Après GenAI,13_democratiser_sobriete,6.15,poor,9.32,good
Après GenAI,14_PrixChangementClimatique,0.35,poor,4.54,moderate
Après GenAI,shiftdataportal,4.25,poor,6.21,good
