Type_AI,Projet,Note moyenne test,Interprétation ICC test,Note moyenne documentation,Interprétation ICC documentation
AI-related,offseason_missiontransition_categorisation,5.35,poor,7.77,good
AI-related,batch4_diafoirus_fleming,0.1,poor,3.61,moderate
AI-related,batch11_cartovegetation,0.25,poor,7.71,excellent
AI-related,bechdelai,7.6,poor,9.98,excellent
AI-related,13_ia_financement,1.7,poor,11.2,moderate
AI-related,13_democratiser_sobriete,6.15,poor,9.32,good
Non AI-related,website2022,1.75,poor,8.2,excellent
Non AI-related,batch5_phenix_happymeal,4.15,poor,7.41,good
Non AI-related,protectclimateactivists,0.15,poor,4.71,good
Non AI-related,offseason_ogre,4.8,poor,9.98,excellent
Non AI-related,14_PrixChangementClimatique,0.35,poor,4.54,moderate
Non AI-related,shiftdataportal,4.25,poor,6.21,good
